CLEAN_ANSWER,LANGUAGE,EMOJIS,final_sentiment,sarcasm,suggestion,suggestion_text,suggestion_type,emotion,tone,urgency_flag,impact_level,responsible_party,action_flag
حل مشكلة التكدس والانتظار الطويل عند دفع قيمة المنتجات والفوضى المصاحبة لذلك,ar,,Negative,No,Yes,"Solve crowding, long waits, and chaos at product payment.",Operational Improvement,frustration,frustrated,Yes,High,management,Yes
Tell customers exactly about products,en,,Neutral,No,Yes,Provide precise product information,Operational Improvement,confusion,informal,No,Medium,None,Yes
خفض اسعار المنتجات,ar,,Negative,No,Yes,Request to lower product prices.,Operational Improvement,disappointment,informal,No,Medium,management,Yes
"اكسترا منصتي الدائمة في شراء الاجهزة الالكترونية، شكرا للأخ أحمد هاشم على طيب تعامله وبشاشة وجهه",ar,,Positive,No,No,None,None,"['gratitude', 'satisfaction']","['grateful', 'polite']",No,Low,customer service,No
شكراً لكم,ar,,Positive,No,No,None,None,gratitude,grateful,No,Low,None,No
كل شي رائع,ar,,Positive,No,No,None,None,joy,enthusiastic,No,Low,None,No
تخفيض سعر الزيارة .. ١٠٠ ريال معقول,ar,,Negative,No,Yes,Reduce the visit price to 100 riyals,Complaint,disappointment,informal,No,Medium,management,Yes
الخدمه للاسف سيئه ما احد يرد علي جوال خدمه العملاء وتنتظر بالساعات وما احد يرد,ar,,Negative,No,No,None,None,frustration,frustrated,Yes,High,customer service,Yes
لي فتره اطلب صيانه ومافيه استجابه,fa,,Negative,No,Yes,User requests a response/action regarding their pending maintenance request.,Complaint,frustration,frustrated,Yes,High,customer service,Yes
سرعة الرد حلوه,ar,,Positive,No,No,None,None,satisfaction,polite,No,Low,customer service,No
لاتوجد اي ملاحات,ar,,Positive,No,No,None,None,satisfaction,informal,No,Low,None,No
Extra,ca,,Neutral,No,No,None,None,confusion,informal,No,Low,None,No
شكرا,ar,,Positive,No,No,None,None,gratitude,grateful,No,Low,None,No
ممتاز,ar,,Positive,No,No,None,None,satisfaction,polite,No,Low,None,No
لا شي,ar,,Neutral,No,No,None,None,satisfaction,informal,No,Low,None,No
شكرا لكم,ar,,Positive,No,No,None,None,gratitude,grateful,No,Low,None,No
تم شراء جهاز واليوم الثاني تم استبداله ونقص من سعره 1500 ريال حتى ماكمل 17 ساعة . الشي الاخر لايوجد رد على الاتصال,ar,,Negative,No,No,None,None,"['frustration', 'disappointment']","['frustrated', 'disappointed']",Yes,High,customer service,Yes
Charge on replacement,en,,Negative,No,No,None,None,disappointment,disappointed,Yes,High,billing,Yes
اقترح خدمات تقسيط اكتر,ar,,Neutral,No,Yes,More installment services,Feature Request,satisfaction,polite,No,Low,management,Yes
Faris,de,,Neutral,No,No,None,None,satisfaction,informal,No,Low,None,No
More products,en,,Neutral,No,Yes,User suggests adding more products.,Feature Request,disappointment,informal,No,Medium,management,Yes
شكرا لكم,ar,,Positive,No,No,None,None,gratitude,grateful,No,Low,None,No
الدعم الفني عبر الهاتف يكون متواجد حتى نهاية الاسبوع,ar,,Neutral,No,Yes,Extend phone technical support availability until the end of the week.,Operational Improvement,disappointment,polite,No,Medium,technical support,Yes
معقد جداً,ar,,Negative,No,No,None,None,frustration,frustrated,Yes,High,None,Yes
الرجاء التوضيح قبل التوصيل في حال شامل التركيب او توصيل فقط,ar,,Neutral,No,Yes,Clarify if installation is included before delivery.,Operational Improvement,confusion,polite,No,Low,delivery team,Yes
معكم الالتزام بالموعد ممتاز لانه عامل مهم لرضى العميل في الشركة,ar,,Positive,No,No,None,None,satisfaction,polite,No,High,delivery team,No
Thank you for your service,en,,Positive,No,No,None,None,gratitude,grateful,No,Low,None,No
شكرا,ar,,Positive,No,No,None,None,gratitude,grateful,No,Low,None,No
اوصي بأن التعامل يكون بأحترافيه مع العملاء,ar,,Positive,No,Yes,Improve professional interaction with customers.,Operational Improvement,disappointment,polite,No,Medium,customer service,Yes
ناقل لايقومون بالتوصيل يجبرونك على استلام الطلب من الموقع الذي يقف فيه المندوب,ar,,,,,,,,,,,,
"‏توظيف فنيين تركيبات محترفين، وعدم التعامل مع طرف ثالث لانه يسعى بالدرجة الأولى إلى إضافة أعمال غير مطلوبة فعليا",ar,,Negative,No,Yes,User suggests hiring professional installation technicians directly and avoiding third-party contractors due to their practice of adding unnecessary work.,Operational Improvement,frustration,frustrated,Yes,High,management,Yes
nothing,en,,Neutral,No,No,None,None,confusion,informal,No,Low,None,No
Nothing else I was satusfied,en,,Positive,No,No,None,None,satisfaction,informal,No,Low,None,No
مصارحة العميل وإعطاء الصورة واضحة وليس فرش الورد والالتزام بما تم الاتفاق عليه,ar,,Negative,No,Yes,Be transparent with customers and adhere to agreements.,Operational Improvement,"['disappointment', 'frustration']","['frustrated', 'disappointed']",Yes,High,management,Yes
لا شي,ar,,Neutral,No,No,None,None,satisfaction,informal,No,Low,None,No
إعطاء زبائن اكسترا المميزين بعض المزايا الاضافية,ar,,Positive,No,Yes,Additional benefits for Extra's special customers,Feature Request,satisfaction,polite,No,Low,management,Yes
العميل على حق دائما حتى يثبت العكس,ar,,Negative,No,No,None,None,disappointment,disappointed,Yes,High,None,Yes
الاهتمام في مواعيد التوصيل والتركيب,ar,,Negative,No,Yes,Focus on delivery and installation timings.,Operational Improvement,disappointment,polite,No,High,delivery team,Yes
شكراً لحسن تعاملكم ولطافتكم ♥️♥️,ar,♥♥,Positive,No,No,None,None,gratitude,grateful,No,Low,customer service,No
الموظفين من جنسية عربية  كثيرين الكلام يعتقدون ان هذا تسويق,ar,,Negative,No,No,None,None,frustration,frustrated,Yes,High,management,Yes
زيادة الخصومات و زيادة اعداد الكاشيرات,ar,,Neutral,No,Yes,Customer suggests increasing discounts and the number of cashiers.,Operational Improvement,None,informal,No,Low,management,Yes
عروض,ar,,Neutral,No,Yes,Inquiry about available offers.,Other,confusion,informal,No,Low,sales,Yes
كل شي تمام👌🏼,ar,👌🏼,Positive,No,No,None,None,satisfaction,polite,No,Low,None,No
عمل سحب عشوائي على الفواتير كل فتره معينة,ar,,Positive,No,Yes,Implement random draws on invoices periodically,Feature Request,satisfaction,polite,No,Low,management,Yes
More discount,it,,Neutral,No,Yes,User is requesting more discount.,Feature Request,None,informal,No,Low,sales,Yes
Reduce the price,en,,Negative,No,Yes,Request to reduce the price,Complaint,disappointment,informal,No,High,management,Yes
الصيانه الفوريه,ar,,Neutral,No,Yes,Immediate maintenance,Operational Improvement,worry,urgent,Yes,Medium,technical support,Yes
"I would like to win a valuable prize even once, because I have been an old customer since the opening of Extra branches in Riyadh",en,,Positive,No,Yes,"User would like to win a valuable prize as a loyal, long-time customer.",Feature Request,satisfaction,polite,No,Low,management,Yes
التسوق عبر المركز خدمة ممتازه وانجاز سريع,ar,,Positive,No,No,None,None,satisfaction,polite,No,Low,None,No
1- No variety in the products 2- very slow cashier experience,en,,Negative,No,Yes,Customer suggests improving product variety and speeding up the cashier experience.,Operational Improvement,frustration,frustrated,Yes,High,management,Yes
staff need to be more aware with what is inside the store,en,,Negative,No,Yes,Staff should have better knowledge of store inventory/products.,Operational Improvement,disappointment,informal,No,Medium,management,Yes
Great help choosing products.,en,,Positive,No,No,None,None,gratitude,grateful,No,Low,sales,No
الرجاء مراجعة تقييم اداء مشرف التركيبات لسوء تعامله ورفضه للحديث مع العملاء,ar,,Negative,No,Yes,Request to review installation supervisor's performance due to poor behavior and refusal to engage with customers.,Complaint,frustration,frustrated,Yes,High,delivery team,Yes
ممتاز,ar,,Positive,No,No,None,None,satisfaction,polite,No,High,None,No
لا يوجد,ar,,Neutral,No,No,None,None,satisfaction,polite,No,Low,None,No
Provide loyalty program,es,,Positive,No,Yes,User suggests implementing a loyalty program.,Feature Request,satisfaction,polite,No,Low,management,Yes
لا,ar,,Negative,No,No,None,None,disappointment,disappointed,No,Low,None,Yes
شكرا لكم جميع الخدمات والموظفين يعملون بشكل جيد,ar,,Positive,No,No,None,None,gratitude,grateful,No,Low,None,No
توفير عدد كافي من المسوقين,ar,,Negative,No,Yes,Ensure a sufficient number of marketers are provided.,Operational Improvement,None,polite,No,High,management,Yes
خدمة التوصيل المجاني,ar,,Positive,No,No,None,None,satisfaction,informal,No,Low,None,No
Very good,af,,Positive,No,No,None,None,satisfaction,enthusiastic,No,Low,None,No
One of technicians they say indoor is having leakage and not good cooling,en,,Negative,No,No,None,None,frustration,frustrated,Yes,High,technical support,Yes
Good,so,,Positive,No,No,None,None,satisfaction,polite,No,Low,None,No
Always ask the payment method from Customer,en,,Neutral,No,Yes,Suggests that the payment method should always be asked from the customer.,Operational Improvement,disappointment,polite,Yes,High,customer service,Yes
kindly support to arrange an erection and connection if possible this week,en,,Neutral,No,Yes,Arrange erection and connection,Operational Improvement,satisfaction,polite,Yes,Low,delivery team,Yes
"اقترح ان يكون هناك سياسه واضحه عند شراء المنتجات من ناحيه الصيانه والمده المسموحه، لان ماكنت ادري اني استحق صيانه مجانيه لمره واحده الا بالصدفه.. السبب ان هذا الشيء راح يفيد العميل وراح تزيد مبيعاتكم وتعود بالنفع للطرفين",ar,,Positive,No,Yes,"To establish a clear policy for product maintenance and its duration, as customers might miss out on free services and it could affect sales.",Operational Improvement,satisfaction,professional,No,High,management,Yes
شكرا مهندس ياسر علي التعامل الراقي,ar,,Positive,No,No,None,None,gratitude,grateful,No,Low,customer service,No
المحافظه على الجوده,ar,,Positive,No,Yes,Request to maintain high quality standards.,Operational Improvement,satisfaction,polite,No,Low,None,Yes
شكرا,ar,,Positive,No,No,None,None,gratitude,grateful,No,Low,None,No
احضار مستلزمات التركيب مثل منظم مدخل المياه و وصلة كهرباء,ar,,Negative,No,Yes,Bring installation supplies like a water inlet regulator and an electrical connector.,Operational Improvement,frustration,informal,No,High,delivery team,Yes
لم يتم التوصيل تم إجباري لأخذ المنتج من الفرع,ar,,Negative,No,No,None,None,frustration,frustrated,Yes,High,delivery team,Yes
لم استلم فاتورة المنتج,ar,,Negative,No,No,None,None,disappointment,disappointed,Yes,High,billing,Yes
إيجاد عمال توصيل اكثر احترافية وجودة وتعامل جير مع العملاء,ar,,Negative,No,Yes,"Improve professionalism, quality, and customer interaction of delivery workers.",Operational Improvement,disappointment,professional,Yes,High,delivery team,Yes
سرعة التوصيل شكرا اكسترا وصلني في وقت احتاج انه يوصل بدري متجر معتمد 🫡🫡,ar,🫡🫡,Positive,No,No,None,None,gratitude,grateful,No,Low,delivery team,No
ان يكون التوصيل والتركيب وفقا للموعد المتفق عليه وان يتم من خلال موظفين اكسترا المحترفين,ar,,Neutral,No,Yes,Ensure delivery and installation are on time and performed by professional staff.,Operational Improvement,worry,professional,No,High,delivery team,Yes
تعامل فني التركيب في عدم آخذ كرتون المكيف وترك بقاياها تحت الجهاز اي انهم لم ينظفوا المنطقه التي عمل بها بشكل كامل بعد الانتهاء من العمل,ar,,Negative,No,Yes,"Technician did not clean up after AC installation, leaving carton remains under the device.",Operational Improvement,disappointment,disappointed,No,Low,delivery team,Yes
Customer service,en,,Neutral,No,No,None,None,satisfaction,polite,No,Low,customer service,No
Very Good  service's,en,,Positive,No,No,None,None,satisfaction,enthusiastic,No,Low,None,No
Informative sales person,fr,,Positive,No,No,None,None,satisfaction,polite,No,Low,sales,No
It was delivered fast and the shipment was in a really good shape,en,,Positive,No,No,None,None,satisfaction,grateful,No,Low,delivery team,No
Over all is fine good,en,,Positive,No,No,None,None,satisfaction,informal,No,Low,None,No
Spicial thanks to Mr. Sadaqat Ail for his kind attitude,en,,Positive,No,No,None,None,gratitude,grateful,No,Low,customer service,No
لاشي,ar,,Neutral,No,No,None,None,satisfaction,informal,No,Low,None,No
الأسعار...شويه صعبه...عشان اغلب فئات المجتمع تقدر تتسوق في اكيترا,ar,,Negative,No,Yes,Suggests making prices more affordable for a wider range of society to increase accessibility.,Operational Improvement,disappointment,polite,No,High,management,Yes
خدمة ممتازة بالتوفيق دائما,ar,,Positive,No,No,None,None,satisfaction,polite,No,Low,None,No
"الاهتمام والتأكد  بتوفير نفس السلع المباعة للعملاء ، وفي حال ان الجهاز لا يعمل بشكل جيد ويحتاج إلى تبديل خلال الفترة المحددة يجد العميل طلبه ولا ينتظر حل مشاكلكم في هذه المواقف شاكر التفهم",ar,,Neutral,No,Yes,Ensure availability of sold goods and prompt replacement of faulty devices without customer waiting for internal issue resolution.,Operational Improvement,frustration,polite,Yes,High,management,Yes
تجربتي كانت مخيبة للآمال طلبت لابتوب من أحد الموظفين وأخذ الجهاز للكاشير وقفت في الطابور أكثر من 20 دقيقة وفي النهاية اكتشفت إن جهازي موجود في كاشير ثاني وكأن الموضوع يتم بعشوائية الشيء الغريب إن ما كان قدامي إلا شخص واحد وكان عنده مشكلة في الاسترجاع أو الصيانة يعني ما في سبب يخلي الواحد يصف طابور علشان يشتري تجربة بصراحة غير منظمة وتدل على ضعف التنسيق في المتجر,ar,,Negative,No,No,None,Complaint,"['disappointment', 'frustration']","['disappointed', 'frustrated']",Yes,High,management,Yes
تعليمهم بالاسلوب الافضل للتعامل مع العملاء. كما آمل وضع لوحات الاسم للموظفين بحيث يتم تقييم الموظف علماً ان جميع الموظفين اللي تعاملت معهم غير مهنيين وينقصهم التدريب والمراقبة من قبلكم. لايوجد ما يخشونه في المعرض عليك ان تبحث بنفسك عن الموظف وعند سؤال اي موظف كأن الامر لايعنيه بل يعني الموظف المختص باستفسارك ومثل اللي يقول ابحث عنه ليس لي شأن في ذلك كأن كل موظف يمثل قسمه او الركن الخاص به ولا يقوم حتى باستدعاء زميله او ان يدلك اين يمكن ان يكون. لا جماعية في العمل والجميع يعمل بشكل فردي,ar,,Negative,No,Yes,Train staff on better customer service and implement name tags for staff evaluation.,Operational Improvement,frustration,frustrated,Yes,High,management,Yes
لا يوجد,ar,,Positive,No,No,None,None,satisfaction,polite,No,Low,None,No
التقسيط مباشر من إكسترا من غير تابي وتمارا وجعل قسم إدارة التحصيل المتابعة المتأخرين عن السداد التوقع إقبال 1000٪,ar,,Positive,No,Yes,"User suggests Extra offer direct installments without third-party services (Tabby/Tamara) and manage collections internally, predicting 1000% demand.",Feature Request,joy,enthusiastic,No,High,management,Yes
ممتاز,ar,,Positive,No,No,None,None,satisfaction,enthusiastic,No,Low,None,No
"شكوى في حق الشخص الذي قام بتوصيل الشحنة لي ، لقد كان في غاية الفضاضة وعدم الاحترام وكأنه هو من قام بالشراء لي ودفع من جيبه . اسلوبه وطريقته في الكلام كانت في غاية السوء . فضلا عن أنه قام بإعطائي تعليمات وسياسات للتركيب لم أعلم عنها قبل الدفع في المركز . لذلك انا غير سعيد وفي غاية الزعل مما حصل معي .",ar,,Negative,No,No,None,None,"['disappointment', 'anger', 'resentment']","['frustrated', 'angry']",Yes,High,delivery team,Yes
اسلوب الموظفييين بالاغراء لكي اقوم بضمان للهاتف سيء ومزعج,ar,,Negative,No,No,None,None,frustration,frustrated,No,Medium,sales,Yes
شكرا,ar,,Positive,No,No,None,None,gratitude,grateful,No,Low,None,No
Variety of models and attractive offers,en,,Positive,No,No,None,None,satisfaction,grateful,No,Low,None,No
خفض الاسعار,ar,,Negative,No,Yes,Request to reduce prices,Operational Improvement,disappointment,disappointed,No,High,management,Yes
"عدم التأخير في الصيانة ،، حيث أن صيانة المنتج لديكم تأخذ مدة طويلة جداً جداً أكثر مما يبنبغي أن تكون",ar,,Negative,No,Yes,Reduce maintenance duration and avoid delays.,Operational Improvement,frustration,frustrated,Yes,High,technical support,Yes
"Cash counter staff must be polite with Non Saudi customer,  some they very rudely behavior  and no eye contact. I hope you consider this . Thanks,some time staff very roud",en,,Negative,No,Yes,Staff at the cash counter should be polite and maintain eye contact with non-Saudi customers.,Operational Improvement,frustration,disappointed,Yes,High,customer service,Yes
I like to see motherboards graphic cards rams more electronic parts clouds etc,en,,Positive,No,Yes,"User suggests adding more electronic parts such as motherboards, graphic cards, RAMs, and cloud components.",Feature Request,satisfaction,informal,No,Low,management,Yes
i satisfied buy any things in extara store,en,,Positive,No,No,None,None,satisfaction,informal,No,Low,None,No
Nil,sw,,Neutral,No,No,None,None,None,None,No,Low,None,No
Very good service,en,,Positive,No,No,None,None,satisfaction,polite,No,Low,None,No
Thanx,vi,,Positive,No,No,None,None,gratitude,grateful,No,Low,None,No
رجاءً خفض الحد الأدنى للشراء بالتقسيط إلى 100 ريال بدلاً من 150 ريال,ar,,Neutral,No,Yes,Lower minimum installment purchase limit to 100 SAR from 150 SAR,Feature Request,satisfaction,polite,No,Medium,management,Yes
"Train a good manners for your security to be in fair treatment of customer either it is Expat or local. Based on our experienced, one of your security had very bad attitude ( Fat Guy Security) in outside parking area. His duty that time April 24, 2025",en,,Negative,No,Yes,Train security personnel for better manners and fair treatment of customers.,Operational Improvement,frustration,frustrated,Yes,High,management,Yes
Good,so,,Positive,No,No,None,None,satisfaction,informal,No,Low,None,No
اقترح اصلاح التكييف في معرض اكسترا نجران,ar,,Negative,No,Yes,Fix air conditioning at XTRA Najran showroom,Operational Improvement,disappointment,polite,No,High,management,Yes
المنتج الي طلبته يختلف عن الي وصل,ar,,Negative,No,No,None,None,"['disappointment', 'frustration']","['disappointed', 'frustrated']",Yes,High,delivery team,Yes
لا,ar,,Negative,No,No,None,None,disappointment,disappointed,No,Low,None,Yes
مراجعة أسعار المنتجات,ar,,Neutral,No,Yes,Request to review product pricing.,Operational Improvement,disappointment,polite,No,Medium,management,Yes
مافي الغاء للطلب!!!!,ar,,Negative,No,Yes,User suggests adding an order cancellation option,Feature Request,frustration,frustrated,Yes,High,technical support,Yes
يكون فيه شبكه مع اللي يركب المكيفات,ar,,Neutral,No,Yes,Improve coordination with AC installers.,Operational Improvement,frustration,polite,No,Medium,management,Yes
In time delivery,it,,Positive,No,No,None,None,satisfaction,polite,No,Low,delivery team,No
التامين على الاجهزة قديكلف التامين مع رسوم الدفع بعد الاستبدال اليى مايقارب قيمه جهاز اخر يتم شراؤه من وكيل اخر,ar,,Negative,No,Yes,"Device insurance and replacement fees are too expensive, almost equivalent to buying a new device from another vendor.",Complaint,disappointment,disappointed,Yes,High,management,Yes
Satisfied,en,,Positive,No,No,None,None,satisfaction,polite,No,Low,None,No
الموظفون سيئين ولا يتم خدمه الزبون بشكل جيد,ar,,Negative,No,No,None,None,frustration,frustrated,Yes,High,customer service,Yes
Your staff is excellent,en,,Positive,No,No,None,None,satisfaction,grateful,No,Low,customer service,Yes
nothing more. thanx,en,,Neutral,No,No,None,None,gratitude,polite,No,Low,None,No
"جاني الشفاط بدون خدمة التركيب، وما ظهرلي في التطبيق اي خيار لاضافة التركيب (افترضت ان التركيب مشمول مع التوصيل)",ar,,Negative,No,Yes,"User received the product without installation service and the app did not provide an option to add it, suggesting a need for clear installation options or inclusion in the app/process.",Operational Improvement,disappointment,disappointed,Yes,High,customer service,Yes
الاهتمام بمستودعات التخزين لتجنب مشاكل التخزين السيئ مثل تسريب المياه على الشحنات,ar,,Negative,No,Yes,Improve storage conditions to prevent water leakage on shipments.,Operational Improvement,disappointment,disappointed,Yes,High,delivery team,Yes
عدم التأخير,ar,,Neutral,No,Yes,Request to avoid delays,Operational Improvement,worry,urgent,Yes,High,delivery team,Yes
وصلو للقرى القريبة من حائل..,ar,,Neutral,No,Yes,Expand delivery service to villages near Hail.,Feature Request,disappointment,informal,No,Medium,management,Yes
مشاء الله التوصيل رائع جدا ومنظم وشكرا لكم,ar,,Positive,No,No,None,None,gratitude,grateful,No,Low,delivery team,No
كوبونات تخصم وتوصيل مجاني,ar,,Positive,No,No,None,None,satisfaction,informal,No,Low,None,No
لا يحتاج اي توصية ....كويسين مره,ar,,Positive,No,No,None,None,satisfaction,polite,No,Low,None,No
👎👎👎👎,emoji,👎👎👎👎,Negative,No,No,None,None,disappointment,disappointed,Yes,High,None,Yes
شكراً لكل العاملين في اكسترا وخاصة م/ عرفة وزميلة - الله يعطيكم العافية,ar,,Positive,No,No,None,None,gratitude,grateful,No,Low,customer service,No
مناسب,ar,,Positive,No,No,None,None,satisfaction,informal,No,Low,None,No
التوصيل في الفترة المسائية بعد الساعه السادسه وعدم اقتصارها في فترة بعد الظهر,ar,,Neutral,No,Yes,"Request to extend delivery hours to include evenings after 6 PM, not just afternoons.",Operational Improvement,disappointment,polite,No,Low,delivery team,Yes
التنبيه على المناديب لتوصيل الاغراض الى مدخل الشقة وليس تركه امام مدخل العمارة,ar,,Negative,No,Yes,"Deliver items to apartment entrance, not building entrance",Operational Improvement,frustration,frustrated,Yes,High,delivery team,Yes
Na,vi,,Neutral,No,No,None,None,confusion,informal,No,Low,None,No
ان يكون التوصيل شامل التركيب للمنتج,ar,,Neutral,No,Yes,Delivery should include product installation.,Operational Improvement,satisfaction,polite,No,Medium,delivery team,Yes
معكم فني تركيب اسبيلت اسمه عبدالولي مممممممتاز جداً جداً ربي يوفقه ويوسع برزقه,ar,,Positive,No,No,None,None,gratitude,grateful,No,High,delivery team,Yes
ممتاز جدا,fa,,Positive,No,No,None,None,satisfaction,enthusiastic,No,Low,None,No
Thanks,en,,Positive,No,No,None,None,gratitude,grateful,No,Low,None,No
Maintain efficiency & excellence,fr,,Positive,No,No,None,None,satisfaction,polite,No,Low,None,No
Ibrahim was great,en,,Positive,No,No,None,None,satisfaction,polite,No,Low,customer service,No
Once ask in tahlia branch your representative he was showing attitude with bad way to show air fryer even though I purchased 3 items on 03.May.2025. Its not good way to talk. Any way thanks.,en,,Negative,No,No,None,None,disappointment,disappointed,No,Medium,customer service,Yes
If there a extra charge service it should be an invoice generate with it,en,,Negative,No,Yes,User suggests that an invoice should be generated for any extra charge service.,Operational Improvement,disappointment,professional,No,High,billing,Yes
ممتاز,ar,,Positive,No,No,None,None,satisfaction,enthusiastic,No,Low,None,No
من المفترض انتو التتواصلون مع الموردين مو المشتري اليروح يدور على المورد,ar,,Negative,No,Yes,Company should communicate with suppliers instead of the buyer.,Operational Improvement,frustration,frustrated,Yes,High,management,Yes
عدم النشبه للعميل,ar,,Positive,No,No,None,None,satisfaction,informal,No,Low,None,No
Best service,fr,,Positive,No,No,None,None,satisfaction,enthusiastic,No,Low,None,No
اشتريت منهم مكيف ومارضو يوصلوه,ar,,Negative,No,No,None,None,frustration,frustrated,Yes,High,delivery team,Yes
مواعيد صيانة متأخرة,ar,,Negative,No,No,None,None,frustration,frustrated,Yes,High,technical support,Yes
التوصيل في وقت المحدد لكن  العماله تركو المكان غير نظيف ولم يتم تنظيف اوساخهم,ar,,Negative,No,No,None,None,frustration,frustrated,Yes,High,delivery team,Yes
No comments. Your customer service is perfect.,en,,Positive,No,No,None,None,satisfaction,grateful,No,Low,customer service,No
سرعه الاستجابه وسرعه الخدمه في العمل,ar,,Positive,No,No,None,None,satisfaction,grateful,No,Low,None,No
اقترح عدم ملاحقة الموظفين للعميل... لأنه العميل كذا ما يأخذ راحته ابدا.. الأفضل من يناديك الزبون تعال... أما يلاحقه من مكان حج مكان كأنه مباحث ما يحتاج... ما ناخذ راحتنا,ar,,Negative,No,Yes,"Employees should not follow customers; instead, they should only approach when called upon.",Operational Improvement,frustration,frustrated,Yes,High,management,Yes
"ترتيب افضل، الاسعار غير واضحة لين انزل راسي",ar,,Negative,No,Yes,Improve organization and ensure prices are clearly visible.,Operational Improvement,frustration,frustrated,Yes,High,None,Yes
يعطيكوا العافيه,ar,,Positive,No,No,None,None,gratitude,grateful,No,Low,None,No
الاستمرار نحو الافضل,ar,,Positive,No,Yes,Continue to improve/strive for betterment.,Other,satisfaction,polite,No,Low,None,No
ترقية الموظف احمد طه,ar,,Positive,No,Yes,Promote employee Ahmed Taha,Other,satisfaction,polite,No,Low,management,Yes
جوائز,ur,,Positive,No,No,None,None,joy,grateful,No,Low,None,No
الالتزام بمواعيد التسليم,ar,,Negative,No,Yes,Improve adherence to delivery schedules.,Operational Improvement,frustration,frustrated,Yes,High,delivery team,Yes
If you have issue in your cards..don't offer to customers and if you offer and customer bought..you should gave customer a gift or something,en,,Negative,No,Yes,"Stop offering products (cards) if there are internal issues, and if an offer is made and purchased, provide the customer with compensation (e.g., a gift).",Operational Improvement,"['frustration', 'disappointment']",['frustrated'],Yes,High,customer service,Yes
Thank you,en,,Positive,No,No,None,None,gratitude,grateful,No,Low,None,No
Good support,en,,Positive,No,No,None,None,satisfaction,polite,No,Low,customer service,No
فتح معرض في أبوعريش ليتسنى لنا زيارته عن قرب,ar,,Positive,No,Yes,Open a showroom in Abu Arish for easier access.,Feature Request,satisfaction,polite,No,Low,management,Yes
Have more specialised employees in each section,en,,Negative,No,Yes,More specialized employees needed in each section.,Operational Improvement,None,informal,No,Medium,management,Yes
