CLEAN_ANSWER,LANGUAGE,EMOJIS,SENTIMENT
"اقترح ان يكون هناك سياسه واضحه عند شراء المنتجات من ناحيه الصيانه والمده المسموحه، لان ماكنت ادري اني استحق صيانه مجانيه لمره واحده الا بالصدفه.. السبب ان هذا الشيء راح يفيد العميل وراح تزيد مبيعاتكم وتعود بالنفع للطرفين",ar,,Neutral
شكرا مهندس ياسر علي التعامل الراقي,ar,,Positive
المحافظه على الجوده,ar,,Positive
شكرا,ar,,Positive
احضار مستلزمات التركيب مثل منظم مدخل المياه و وصلة كهرباء,ar,,Positive
لم يتم التوصيل تم إجباري لأخذ المنتج من الفرع,ar,,Negative
لم استلم فاتورة المنتج,ar,,Negative
إيجاد عمال توصيل اكثر احترافية وجودة وتعامل جير مع العملاء,ar,,Positive
سرعة التوصيل شكرا اكسترا وصلني في وقت احتاج انه يوصل بدري متجر معتمد 🫡🫡,ar,🫡🫡,Positive
ان يكون التوصيل والتركيب وفقا للموعد المتفق عليه وان يتم من خلال موظفين اكسترا المحترفين,ar,,Positive
تعامل فني التركيب في عدم آخذ كرتون المكيف وترك بقاياها تحت الجهاز اي انهم لم ينظفوا المنطقه التي عمل بها بشكل كامل بعد الانتهاء من العمل,ar,,Negative
Customer service,en,,Positive
Very Good  service's,en,,Positive
Informative sales person,fr,,Positive
It was delivered fast and the shipment was in a really good shape,en,,Positive
Over all is fine good,en,,Positive
Spicial thanks to Mr. Sadaqat Ail for his kind attitude,en,,Positive
لاشي,ar,,Negative
الأسعار...شويه صعبه...عشان اغلب فئات المجتمع تقدر تتسوق في اكيترا,ar,,Neutral
خدمة ممتازة بالتوفيق دائما,ar,,Positive
"الاهتمام والتأكد  بتوفير نفس السلع المباعة للعملاء ، وفي حال ان الجهاز لا يعمل بشكل جيد ويحتاج إلى تبديل خلال الفترة المحددة يجد العميل طلبه ولا ينتظر حل مشاكلكم في هذه المواقف شاكر التفهم",ar,,Negative
تجربتي كانت مخيبة للآمال طلبت لابتوب من أحد الموظفين وأخذ الجهاز للكاشير وقفت في الطابور أكثر من 20 دقيقة وفي النهاية اكتشفت إن جهازي موجود في كاشير ثاني وكأن الموضوع يتم بعشوائية الشيء الغريب إن ما كان قدامي إلا شخص واحد وكان عنده مشكلة في الاسترجاع أو الصيانة يعني ما في سبب يخلي الواحد يصف طابور علشان يشتري تجربة بصراحة غير منظمة وتدل على ضعف التنسيق في المتجر,ar,,Negative
تعليمهم بالاسلوب الافضل للتعامل مع العملاء. كما آمل وضع لوحات الاسم للموظفين بحيث يتم تقييم الموظف علماً ان جميع الموظفين اللي تعاملت معهم غير مهنيين وينقصهم التدريب والمراقبة من قبلكم. لايوجد ما يخشونه في المعرض عليك ان تبحث بنفسك عن الموظف وعند سؤال اي موظف كأن الامر لايعنيه بل يعني الموظف المختص باستفسارك ومثل اللي يقول ابحث عنه ليس لي شأن في ذلك كأن كل موظف يمثل قسمه او الركن الخاص به ولا يقوم حتى باستدعاء زميله او ان يدلك اين يمكن ان يكون. لا جماعية في العمل والجميع يعمل بشكل فردي,ar,,Positive
لا يوجد,ar,,Neutral
التقسيط مباشر من إكسترا من غير تابي وتمارا وجعل قسم إدارة التحصيل المتابعة المتأخرين عن السداد التوقع إقبال 1000٪,ar,,Negative
ممتاز,ar,,Positive
"شكوى في حق الشخص الذي قام بتوصيل الشحنة لي ، لقد كان في غاية الفضاضة وعدم الاحترام وكأنه هو من قام بالشراء لي ودفع من جيبه . اسلوبه وطريقته في الكلام كانت في غاية السوء . فضلا عن أنه قام بإعطائي تعليمات وسياسات للتركيب لم أعلم عنها قبل الدفع في المركز . لذلك انا غير سعيد وفي غاية الزعل مما حصل معي .",ar,,Negative
اسلوب الموظفييين بالاغراء لكي اقوم بضمان للهاتف سيء ومزعج,ar,,Positive
شكرا,ar,,Positive
Variety of models and attractive offers,en,,Positive
خفض الاسعار,ar,,Negative
"عدم التأخير في الصيانة ،، حيث أن صيانة المنتج لديكم تأخذ مدة طويلة جداً جداً أكثر مما يبنبغي أن تكون",ar,,Negative
"Cash counter staff must be polite with Non Saudi customer,  some they very rudely behavior  and no eye contact. I hope you consider this . Thanks,some time staff very roud",en,,Negative
I like to see motherboards graphic cards rams more electronic parts clouds etc,en,,Positive
i satisfied buy any things in extara store,en,,Positive
Nil,sw,,Negative
Very good service,en,,Positive
Thanx,vi,,Positive
رجاءً خفض الحد الأدنى للشراء بالتقسيط إلى 100 ريال بدلاً من 150 ريال,ar,,Negative
"Train a good manners for your security to be in fair treatment of customer either it is Expat or local. Based on our experienced, one of your security had very bad attitude ( Fat Guy Security) in outside parking area. His duty that time April 24, 2025",en,,Negative
Good,so,,Positive
اقترح اصلاح التكييف في معرض اكسترا نجران,ar,,Neutral
المنتج الي طلبته يختلف عن الي وصل,ar,,Negative
لا,ar,,Neutral
مراجعة أسعار المنتجات,ar,,Positive
مافي الغاء للطلب!!!!,ar,,Negative
يكون فيه شبكه مع اللي يركب المكيفات,ar,,Neutral
In time delivery,it,,Positive
التامين على الاجهزة قديكلف التامين مع رسوم الدفع بعد الاستبدال اليى مايقارب قيمه جهاز اخر يتم شراؤه من وكيل اخر,ar,,Negative
Satisfied,en,,Positive
الموظفون سيئين ولا يتم خدمه الزبون بشكل جيد,ar,,Negative
Your staff is excellent,en,,Positive
nothing more. thanx,en,,Negative
"جاني الشفاط بدون خدمة التركيب، وما ظهرلي في التطبيق اي خيار لاضافة التركيب (افترضت ان التركيب مشمول مع التوصيل)",ar,,Negative
الاهتمام بمستودعات التخزين لتجنب مشاكل التخزين السيئ مثل تسريب المياه على الشحنات,ar,,Positive
عدم التأخير,ar,,Negative
وصلو للقرى القريبة من حائل..,ar,,Negative
مشاء الله التوصيل رائع جدا ومنظم وشكرا لكم,ar,,Positive
كوبونات تخصم وتوصيل مجاني,ar,,Positive
لا يحتاج اي توصية ....كويسين مره,ar,,Negative
👎👎👎👎,emoji,👎👎👎👎,Neutral
شكراً لكل العاملين في اكسترا وخاصة م/ عرفة وزميلة - الله يعطيكم العافية,ar,,Positive
مناسب,ar,,Positive
التوصيل في الفترة المسائية بعد الساعه السادسه وعدم اقتصارها في فترة بعد الظهر,ar,,Positive
التنبيه على المناديب لتوصيل الاغراض الى مدخل الشقة وليس تركه امام مدخل العمارة,ar,,Positive
Na,vi,,Neutral
ان يكون التوصيل شامل التركيب للمنتج,ar,,Positive
معكم فني تركيب اسبيلت اسمه عبدالولي مممممممتاز جداً جداً ربي يوفقه ويوسع برزقه,ar,,Positive
ممتاز جدا,fa,,Positive
Thanks,en,,Positive
Maintain efficiency & excellence,fr,,Positive
Ibrahim was great,en,,Positive
Once ask in tahlia branch your representative he was showing attitude with bad way to show air fryer even though I purchased 3 items on 03.May.2025. Its not good way to talk. Any way thanks.,en,,Negative
If there a extra charge service it should be an invoice generate with it,en,,Negative
ممتاز,ar,,Positive
من المفترض انتو التتواصلون مع الموردين مو المشتري اليروح يدور على المورد,ar,,Negative
عدم النشبه للعميل,ar,,Negative
Best service,fr,,Positive
اشتريت منهم مكيف ومارضو يوصلوه,ar,,Positive
مواعيد صيانة متأخرة,ar,,Negative
التوصيل في وقت المحدد لكن  العماله تركو المكان غير نظيف ولم يتم تنظيف اوساخهم,ar,,Negative
No comments. Your customer service is perfect.,en,,Positive
سرعه الاستجابه وسرعه الخدمه في العمل,ar,,Positive
اقترح عدم ملاحقة الموظفين للعميل... لأنه العميل كذا ما يأخذ راحته ابدا.. الأفضل من يناديك الزبون تعال... أما يلاحقه من مكان حج مكان كأنه مباحث ما يحتاج... ما ناخذ راحتنا,ar,,Neutral
"ترتيب افضل، الاسعار غير واضحة لين انزل راسي",ar,,Positive
يعطيكوا العافيه,ar,,Positive
الاستمرار نحو الافضل,ar,,Positive
ترقية الموظف احمد طه,ar,,Positive
جوائز,ur,,Positive
الالتزام بمواعيد التسليم,ar,,Positive
If you have issue in your cards..don't offer to customers and if you offer and customer bought..you should gave customer a gift or something,en,,Negative
Thank you,en,,Positive
Good support,en,,Positive
فتح معرض في أبوعريش ليتسنى لنا زيارته عن قرب,ar,,Positive
Have more specialised employees in each section,en,,Neutral
Increase the number of sales person with English language.,en,,Positive
زياده عدد الكاونترات احيانا يكون واحد فقط خصوصا الجمعه بليل وناس ربشه وضغط احد المرات واحد من العملاء عصب وترك طلبيته وطلع من معرض لهذا السبب امامي رايت هذا الموقف لان الكاونتر واحد وصار تاخير كبير جدا احدهم كان معه مشكله ارجاع سلعه,ar,,Negative
Mobile,tr,,Positive
لا يوجد,ar,,Neutral
S,de,,Positive
اسوء توصيل واسوء خدمة عملاء في المركز واسوء نظام للفواتير,ar,,Positive
ان نقدر نسوي طلبية للاشياء الي ما موجوده حتى لو كان براند غير معروف و توفروه لنا كعملاء,ar,,Positive
لاتملوا ولاتضغطوا  على العميل مايختاره لتحقيق ماآرب اخرى .,ar,,Negative
شكر موجه للموظف ريان على فن التعامل وامتصاص الغضب وحل المشكله,ar,,Positive
ليسا عندي اقتراح,ar,,Negative
عند شراء بطاقه جود لازم تتاكد من وجود المنتج لان المسوق داخل المعرض قال لي المنتج متوفر وعند شرائي لبطاقة جود الذهبيه والدفع اتضح ان المنتج غير متوفر و لا لا أستطيع إرجاع بطاقه جود الذهبيه,ar,,Negative
شكرا,ar,,Positive
Good,so,,Positive
تجاوب سريع,ur,,Positive
Given offer comparison of price with other stores cheaper here,en,,Neutral
موظف الصيانه الي زارني اليوم خدمته ممتازه جدا واسلوبه جدا راقي في العمل,ar,,Positive
تقليل مدة التوصيل,ar,,Positive
زيادة عرض منتجات الصناعية,ar,,Positive
Good service and support,en,,Positive
Everything is excellent,en,,Positive
مدري صراحه,fa,,Positive
العمل بمهنية عالية جدا تليق بسمعة اكسترا,ar,,Positive
اسواء خدمه شفتها لغايه الان والموظفين لا يعلمون شيء,ar,,Negative
كل شي جميل والضمان ابرائع وترتيب المواعيد للتوصيل او الصيانه وفوق كل هذا ميزة الضمان الممتد,ar,,Positive
I believe gifts cards are something we get after paying. Why don't we pay with gift card and credit card discount for the same order since you are collecting money on the gift card in advance?,en,,Negative
الله يعطيكم العافيه جميعا,ar,,Positive
اهداء هدايه,fa,,Positive
"If you can sign the contract with my company and delivery, so that I don't have to go to the store.",en,,Negative
It was a very good experience and I could make my choice fast based on the information provided by Ahmed,en,,Positive
To have more variatie in the colors an type of the product,en,,Neutral
sales man explanation about product wow,en,,Positive
Commitment,en,,Positive
الاجهزه الاكترونيه,ar,,Positive
مفروض موظف متواجد في موقعه,ar,,Positive
خدمة راقية,ar,,Positive
"I  brought  earphone,  it's verry good with worth it price",en,,Positive
السلام عليكم  مع احترامي لشركة اكسترا المحترمين عندي صيانة لغسالة ومكيف انا طالب الصيانة من حوالي 15 يوم واكثر ولتاريخ اليوم لم يصلني احد ورحت للفرع للمراجعة بقلك الموظف غير موجود مع العلم اكثر الادوات المنزلية عندي من اكسترا وشاكر لكم,ar,,Negative
More promotions and offers,en,,Positive
لم يتم توصيل المنتج علما بانه تم الدفع,ar,,Negative
الاستمرار,ar,,Positive
Special offer and big discount.,en,,Positive
إمكانيات الموظفين والموظفات العاملين في فرع مكة 🕋 اكستراء بالعزيزية على مستوى عالي جدا مما يجعل الزوار في اطلاع مميز على جميع المنتجات وأسعارها وطرق شراءئها بكل يسر وسهولة,ar,🕋,Positive
The washing machine delivered is defective. It does nit work,en,,Negative
More Offers For More Sale,en,,Positive
"Staff helping nature for customers, there are staffs at extra but no one want to attend them…they approach looking nationality wise🤔",en,🤔,Positive
لا شيء,ar,,Neutral
التعامل ممتاز,ar,,Positive
العروض,ar,,Positive
اسعار غير واقعية واجهزة قديمة وصناعة رديئة لاعاد ترسلون ازعجتونا,ar,,Negative
يعطيكم العافية,ar,,Positive
شكرا,ar,,Positive
الموظف ذو اخلاق رفيعة,ar,,Positive
ا,ar,,Positive
التسريع بتوفير فقط الغيار فقط,ar,,Negative
Nice customer service,ro,,Positive
زر وستجد ما يسرك,ar,,Negative
🌺,emoji,🌺,Neutral
"Thank EXTRA , I thank Amir Al-Harbi for his kind assistance and cooperation.",en,,Positive
وقت الانتظار طويل. عملية تسليم الجهاز طويلة و السبب طباعة كثير من المعلومات . الاسخاص رائعين.,ar,,Negative
لم يتم كل المشكلة,ar,,Negative
الإهتمام بنظافة المنتج من الخارج,ar,,Positive
ماعنده التزام بالوقت...,ar,,Positive
تعامل الموظف المبيعات وتوجيهه في المنتج,ar,,Positive
لا شيء,ar,,Neutral
يحتاج دايمن تعملو عروض,ar,,Positive
احد العاملين اخبرني بعدم توفر لون معين من الجوال عند سؤال رجل اخر قال لي اللون المطلوب موجود,ar,,Negative
تفعيل الضمانات,ar,,Positive
Because of near by us,en,,Negative
الصيانه في المنزل دون نقل المنتج الى مقر الصيانه لان النقل يعرضه للاصابات,ar,,Negative
More offer more purchase,en,,Negative
ركبت لزقة حماية وبعد اسبوع بدت تنفك,ar,,Negative
التواصل من منذوب التوصيل في حالة عدم الرد,ar,,Positive
ينبغي ان يكون وصف السلعة واضحا فيما إذا كانت تحتاج إلى تركيب أم لا.,ar,,Negative
Yes,tr,,Neutral
الاهتمام بتركيب المكيفات حيث واجهت مشكلة مع الفنيين ويوجد لدي مكيف واحد من ضمن ستة لم تستكمل عملية التركيب حتى وقد مضى عليه سنة تقريباً,ar,,Negative
طلبت مكنسه ووصلت مكسورة,ar,,Negative
اقترح ان يكون التوصيل خلال مدة أقل من المعتاد معكم,ar,,Neutral
More experience people,ro,,Positive
Taking tooo much time to clear the issue,en,,Positive
Nice service,ro,,Positive
Better interface,de,,Neutral
The welcoming of your staff. The attation towreds the customer. It's an excellent customer service,en,,Positive
كل شي ممتاز,ar,,Positive
المندوب لم يرسل لي قبل وصوله بفترة كافية إنما اتصل فجأة واخبرني انه عند الباب ؟؟؟؟,ar,,Negative
"Thank  you for Shofi's help from the Seef branch. He has been very helpful, resilient and always available.",en,,Positive
طريقة الاستقبال عند الذهاب إلى اكسترا قمة في التعامل,ar,,Positive
Good service,en,,Positive
Me Mahmoud,en,,Positive
More discount and offers,en,,Negative
To take service requests seriously and deliver in time. The laptop was handed over 2 weeks ago and they just informed today that it will take another 2 weeks to order the part needed. Means 4 weeks to replace a single part! Worldwide delivery is now available at short term and duration!,en,,Positive
give discount,it,,Positive
اشتريت جوال هونر ويوجد خاصيه ان البطاريه تجلس ٣ايام وهيه لا تجلس ليوم واحد 😞,ar,😞,Negative
اتمنى ان يكون فيه شفافيه اكثر مع الزبون بنسبه للهدايا المقدمه مع الجهاز,ar,,Negative
Bad communication in counter exist,en,,Negative
الشفافية ذهبت لشراء جوال ومعه هدايا بعد الذهاب ل3 فروع لان الجوال غير متوفر في كل الفروع اخبرني الموظف انه يجب ان اختار بين الهدايا وخصم فيزا ساب لايمكن الحصول على ال2 مع انه لايوجد بند في شروط خصم الفيزا ينص على هذا,ar,,Negative
Better service for delivery,da,,Positive
عدم الكذب,ar,,Negative
Make it easier to edit or exchange the invoices,en,,Positive
التحقق الجيد من شكوى العميل,ar,,Positive
Enlargement and reception centers for devices must be located within all branches... and not exceed 5 days.,en,,Positive
During installation the workers have not put the dampening pads under the washing machine,en,,Negative
العروض لعدم وجود قوه شرائيه,ar,,Negative
التواصل عن طريق الاتصال مباشر بالعميل خاصة فى حالة طلب صيانة,ar,,Positive
"كمبروسر تلاجتي خرب وتم تغيير الثلاجة علي الضمان ، وتم اخذ ٦٥٠ ريال قبلها لتغيير قطعة في الثلاجة وبعد اكتشاف ان الكمبروسر هو الخربان وعلي الضمان ، مع ذلك لم استرد اموالي المدفوعة",ar,,Negative
Customer service because they are friendly,en,,Positive
Between break time staff on duty after Zohar shift more vigilant and cooperative,en,,Positive
Better English for staff,en,,Neutral
لاشئ,ar,,Negative
شكرا لكم,ar,,Positive
مفيش حل المشكله نهائياً,ar,,Positive
عدم التجاوب السريع مما قد يدخل المستفيد في دوامة اعادة تقديم الطلب وذلك بسبب التاخير الذي سوف يفعل الرد الالي مره اخرى. فيصعب الامر على العميل لانه يجب عليه تجاوز الالي اولا ثم اعادة صياغة الطلب للموظف مره اخرى.,ar,,Negative
سرعة التفاعل,ar,,Positive
شكرا جزيلا,ar,,Positive
الزياره للعميل في أوقات النوم وآخر الليل بعد منتصفه هل هي مناسبه لإتخاذ قرار الاستبدال كل هذا تعطي شكوك بعدم وجود مصداقيه من قبلكم بالوفاء ولن اتعامل معكم مرة أخرى,ar,,Positive
فريق عمل ممتاز,ar,,Positive
The staff must be focus on customer  dealing with good,en,,Positive
شكراااااا اكسترا,ar,,Positive
شكرا,ar,,Positive
‏أشكركم,ar,,Positive
الحصول على هدية مع المنتج المطلوب هذا يشجع عملية الشارع انا اشتريت تليفون جاي معه كابل الشحن بدون الراس اذا كان معه مثلا راس الشاحن او الحراب او سكرين للشاشه هذا يحمس للشتاء,ar,,Positive
"لاحظت كثرة موظفين المبيعات، اعتقد أنهم اكثر من الطبيعي، لكن الخدمة ممتازة.",ar,,Positive
وأيضًا خدمة الصيانه السرعه والإلتزام بالوقت وسرعة العمل,ar,,Positive
تلقيت معاملة جدا سيئة من احد موظفي خدمة العملاء,ar,,Positive
Price not different in sale,it,,Negative
تزويدنا بالعروض الحصريه,ar,,Positive
توفر جميع منتجات الموقع بالمعرض,ar,,Positive
خدمه ممتازه,fa,,Positive
Never pick up the phone or  after-sales channels+ i hade extremly bad experince with A/C  spilt installation,en,,Negative
Free delivery,da,,Positive
ممتاز,ar,,Positive
"Time the costumer didnt have time to answer the calls My recommendation for added Full location from the biggining of purchasing process, some",en,,Negative
Change some rules like I can't change my items for any brunch they told me it must in same brunch,en,,Neutral
الموظفين رائعون,ar,,Positive
طاقم التركيب مخادع,ar,,Positive
لاشي كل شي جميل,ar,,Positive
زياده الافراد ف الفرع,ar,,Positive
تقديم الشكر للطاقم النسائي اكثر من الشباب,ar,,Positive
Mobile number 0591258844 Order number WEB915056743 The product already delivered and accessories missing so I returned to store  It's received by extra And I informed I need the product with all accessories and I am Waiting  When you are sending  Or give me tracking number if u send me Waiting for long time,en,,Negative
Goood,so,,Positive
The mobile sold to me wasn't even in mega sale and the staff didn't even mention it. The cashier was extremely crowded with people fighting with each other in queue so I had to buy it.,en,,Negative
أنا أحب اكسترا جدااااااا.  لكن للأسف العمال اللي جو يركبون المكيف غير متعاونين وغير احترافيين ما رتبوا بعد ما خلصوا ولا ركبوا ديكور المكيف ولا ثبتوا الريموت,ar,,Negative
Just answer customer requests,en,,Positive
Cancel the annoying and pushy salesmen on the sections,en,,Negative
Than you 😊,en,😊,Positive
كل شي تمام من كل النواحي,ar,,Positive
ماعندي اي اقتراحات,fa,,Negative
نشكر الموظفين في اكسترا جميعاً على حُسن الاستقبال وخدمه العميل على افضل وجه.  شكرا لكم جميعاً,ar,,Positive
The sales team is very confident and co operative.,en,,Positive
Not to sub contract with Egyptians labor  ever🤢,en,🤢,Negative
Reaching destination,en,,Positive
Good,so,,Positive
حسنو موظفينكم ما يصير اشتري قلم جديد وبالنهاية ما يشتغل واوديه الصيانة وترجعونه لي نفس ما هو وتكذبون تقولون بدلناه لك,ar,,Positive
موظف الصيانة ذو الخلق العالي عبد الجهني أعطيه تقيم 10 من 10,ar,,Positive
العمال مرا طيبين ومتفاهمين يعطيهم الف عافيه,ar,,Positive
الاهتمام أكثر بخدمات ما بعد البيع,ar,,Negative
مره متعاونين,fa,,Positive
لاشيء,ar,,Positive
كل شيء تمام,ar,,Positive
تجنب الانتظار لمده 24 ساعه قبل اتخاذ الاجراءات المطلوبه,ar,,Positive
More cooperative and friendly behaviour,en,,Positive
موظفي التسويق ينشغلون عن الزبائن بحوارات جانبيه ويتركون الزبون,ar,,Positive
The prices are exaggerated.,en,,Negative
Product is believable with attractive packing,en,,Positive
"تم بيعي منتج مختلف عن الذي استلمته، وعند محاولة ارجاعه تم رفض بسبب استخدامي له مرة واحدة فقط",ar,,Negative
reliable warranty,en,,Positive
الحماية الحرارية سيئة جدا الأفضل وقفوها نوعية سيئة وخامات سيئة,ar,,Positive
Customer service,en,,Positive
Customer service is in good accomodating employee,en,,Positive
frebies,de,,Positive
Thanks,en,,Positive
اوك,ar,,Positive
لا يوجد,ar,,Neutral
Happy,fi,,Positive
Development and education of air conditioning installation technicians,en,,Positive
Language barrier,de,,Negative
good,so,,Positive
شكرا لكم,ar,,Positive
The first store I visited near king Abdulaziz  road staff was so rude and racist I believe they were not attending to my queries even though requested many times also they try to avoid customer from other languages. It demoralised customer experience. Their was no crowd in that store and they were so annoyed they Toby even know their system and they were not helping to share details where that stock available because of them I changed my mind to buy from extra then i thought give it chance and went to girnatha store and those guys were do amazing and helped me with all queries in fact it was so crowded but still they went on and answered all my queries patiently and the guy who sold phone he was new to store but so calm guy and guided me through all product related queries and where ever he stucked he requested store manager to help him and explaining and solving my queries. 2 different experience in 2 different store one was bitter and painful and 2nd was super better and satisfying,en,,Negative
للاسف الصيانه ليس عندهم ليونه وفيه مشاكل كثيره منهم وعندي مشكله معهم بخصوص لاب توب من اكثر من شهر ولم تحل,ar,,Negative
كل شئ ممتاز,ar,,Positive
لايوجد,ar,,Neutral
لايوجد,ar,,Neutral
لا,ar,,Neutral
تواجد خيارات للتسوق,ar,,Positive
مافيه,ar,,Negative
لم تحل المشكلة الا بعد رفع شكوى لوزارة التجارة لا احترام للمواعيد و لا اهتمام منرفبل موظفين الشكاوى و لازاي التزام من فريق الصيانه... منتهى سوء الخدمه,ar,,Negative
خلكم كذا ولا تتغيرون لاني اشوفكم الافضل في السوق لا خدمة ولا صيانه,ar,,Positive
Keep to your word when advising customers when to collect their repaired devices,en,,Positive
شي رائع وان شاءالله إلى الامام دوما,ar,,Positive
رااائعين,ur,,Positive
ان تكون الشروط واضحة واي مبالغ سيتم دفعها سابقاً,ar,,Negative
شكرا,ar,,Positive
فريق الصيانه أتى على الوقت وسلم التلفاز في وقت قياسي,ar,,Positive
تبسيط او وضع ايقونه خاصة لخدمة الصيانه بعد البيع لاني تعبت لحد ما وصلت للصيانه,ar,,Positive
No,no,,Neutral
"بصراحة خدمة إكسترا من أفضل خدمات مابعد البيع،،،،",ar,,Positive
شكرا للفني,ar,,Positive
شكراً,ar,,Positive
شكرا لكم,ar,,Positive
Well trained maintenance team needed,en,,Positive
شكرا اكسترا من القلب,ar,,Positive
‏ممتاز,ar,,Positive
"I Request if u can have few English speaking employees, who can explain about products. Thanks",en,,Negative
اشكركم جزيلا علي اهتمامكم بالعملاء من جميع الجهات,ar,,Positive
أرجو الاهتمام باصحاب الظروف الخاصه ووضع مرشدين لمساعدهم,ar,,Positive
لا اعلم لماذا يصلح الفريق,ar,,Positive
