CLEAN_ANSWER,SENTIMENT_HF,SENTIMENT_GEMINI,MATCH
اسلوب الموظفييين بالاغراء لكي اقوم بضمان للهاتف سيء ومزعج,Positive,Negative,False
خفض الاسعار,Negative,Positive,False
Nil,Negative,Neutral,False
اقترح اصلاح التكييف في معرض اكسترا نجران,Neutral,Negative,False
مراجعة أسعار المنتجات,Positive,Neutral,False
يكون فيه شبكه مع اللي يركب المكيفات,Neutral,Negative,False
nothing more. thanx,Negative,Neutral,False
الاهتمام بمستودعات التخزين لتجنب مشاكل التخزين السيئ مثل تسريب المياه على الشحنات,Positive,Negative,False
عدم التأخير,Negative,Positive,False
وصلو للقرى القريبة من حائل..,Negative,Neutral,False
لا يحتاج اي توصية ....كويسين مره,Negative,Positive,False
👎👎👎👎,Neutral,Negative,False
التوصيل في الفترة المسائية بعد الساعه السادسه وعدم اقتصارها في فترة بعد الظهر,Positive,Negative,False
التنبيه على المناديب لتوصيل الاغراض الى مدخل الشقة وليس تركه امام مدخل العمارة,Positive,Negative,False
ان يكون التوصيل شامل التركيب للمنتج,Positive,Neutral,False
اشتريت منهم مكيف ومارضو يوصلوه,Positive,Negative,False
اقترح عدم ملاحقة الموظفين للعميل... لأنه العميل كذا ما يأخذ راحته ابدا.. الأفضل من يناديك الزبون تعال... أما يلاحقه من مكان حج مكان كأنه مباحث ما يحتاج... ما ناخذ راحتنا,Neutral,Negative,False
ترتيب افضل، الاسعار غير واضحة لين انزل راسي,Positive,Negative,False
ترقية الموظف احمد طه,Positive,Neutral,False
جوائز,Positive,Neutral,False
Have more specialised employees in each section,Neutral,Negative,False
Increase the number of sales person with English language.,Positive,Negative,False
Mobile,Positive,Neutral,False
S,Positive,Neutral,False
اسوء توصيل واسوء خدمة عملاء في المركز واسوء نظام للفواتير,Positive,Negative,False
ليسا عندي اقتراح,Negative,Neutral,False
Given offer comparison of price with other stores cheaper here,Neutral,Positive,False
تقليل مدة التوصيل,Positive,Negative,False
زيادة عرض منتجات الصناعية,Positive,Neutral,False
مدري صراحه,Positive,Neutral,False
"If you can sign the contract with my company and delivery, so that I don't have to go to the store.",Negative,Positive,False
Commitment,Positive,Neutral,False
الاجهزه الاكترونيه,Positive,Neutral,False
مفروض موظف متواجد في موقعه,Positive,Negative,False
More promotions and offers,Positive,Neutral,False
الاستمرار,Positive,Neutral,False
"Staff helping nature for customers, there are staffs at extra but no one want to attend them…they approach looking nationality wise🤔",Positive,Negative,False
العروض,Positive,Neutral,False
ا,Positive,Neutral,False
زر وستجد ما يسرك,Negative,Positive,False
🌺,Neutral,Positive,False
ماعنده التزام بالوقت...,Positive,Negative,False
يحتاج دايمن تعملو عروض,Positive,Negative,False
تفعيل الضمانات,Positive,Neutral,False
Because of near by us,Negative,Neutral,False
الصيانه في المنزل دون نقل المنتج الى مقر الصيانه لان النقل يعرضه للاصابات,Negative,Positive,False
More offer more purchase,Negative,Positive,False
التواصل من منذوب التوصيل في حالة عدم الرد,Positive,Negative,False
اقترح ان يكون التوصيل خلال مدة أقل من المعتاد معكم,Neutral,Negative,False
More experience people,Positive,Negative,False
Taking tooo much time to clear the issue,Positive,Negative,False
Better interface,Neutral,Positive,False
Me Mahmoud,Positive,Neutral,False
To take service requests seriously and deliver in time. The laptop was handed over 2 weeks ago and they just informed today that it will take another 2 weeks to order the part needed. Means 4 weeks to replace a single part! Worldwide delivery is now available at short term and duration!,Positive,Negative,False
give discount,Positive,Negative,False
Make it easier to edit or exchange the invoices,Positive,Negative,False
Enlargement and reception centers for devices must be located within all branches... and not exceed 5 days.,Positive,Negative,False
Better English for staff,Neutral,Negative,False
لاشئ,Negative,Neutral,False
مفيش حل المشكله نهائياً,Positive,Negative,False
الزياره للعميل في أوقات النوم وآخر الليل بعد منتصفه هل هي مناسبه لإتخاذ قرار الاستبدال كل هذا تعطي شكوك بعدم وجود مصداقيه من قبلكم بالوفاء ولن اتعامل معكم مرة أخرى,Positive,Negative,False
تلقيت معاملة جدا سيئة من احد موظفي خدمة العملاء,Positive,Negative,False
Change some rules like I can't change my items for any brunch they told me it must in same brunch,Neutral,Negative,False
طاقم التركيب مخادع,Positive,Negative,False
زياده الافراد ف الفرع,Positive,Negative,False
تقديم الشكر للطاقم النسائي اكثر من الشباب,Positive,Neutral,False
Just answer customer requests,Positive,Negative,False
ماعندي اي اقتراحات,Negative,Neutral,False
حسنو موظفينكم ما يصير اشتري قلم جديد وبالنهاية ما يشتغل واوديه الصيانة وترجعونه لي نفس ما هو وتكذبون تقولون بدلناه لك,Positive,Negative,False
لاشيء,Positive,Negative,False
تجنب الانتظار لمده 24 ساعه قبل اتخاذ الاجراءات المطلوبه,Positive,Negative,False
موظفي التسويق ينشغلون عن الزبائن بحوارات جانبيه ويتركون الزبون,Positive,Negative,False
الحماية الحرارية سيئة جدا الأفضل وقفوها نوعية سيئة وخامات سيئة,Positive,Negative,False
Customer service,Positive,Neutral,False
Customer service,Positive,Neutral,False
اوك,Positive,Neutral,False
Development and education of air conditioning installation technicians,Positive,Neutral,False
Keep to your word when advising customers when to collect their repaired devices,Positive,Negative,False
ان تكون الشروط واضحة واي مبالغ سيتم دفعها سابقاً,Negative,Neutral,False
تبسيط او وضع ايقونه خاصة لخدمة الصيانه بعد البيع لاني تعبت لحد ما وصلت للصيانه,Positive,Negative,False
Well trained maintenance team needed,Positive,Negative,False
"I Request if u can have few English speaking employees, who can explain about products. Thanks",Negative,Neutral,False
أرجو الاهتمام باصحاب الظروف الخاصه ووضع مرشدين لمساعدهم,Positive,Negative,False
لا اعلم لماذا يصلح الفريق,Positive,Negative,False
الاهتمام بالزبون وشرح كل تقاصيل المنتج والشروط والأحكام  بخصوص المتج التوصيل والتركيب بواسطة الموظف قبل إتمام عملية الشراء وتحمل مسؤلية القصور في اي مرحلة واطالب بتعويض عن الضرر الذي لحق بي من هذا القبيل,Positive,Negative,False
يكون فيه قسم خاص لذوي الاحتياجات الخاصه,Neutral,Positive,False
مدري,Positive,Neutral,False
الاتصال بوقت مبكر جدا ( 10 صباحا )مع طلبه لموقع المنزل بالاضافة الى توصيله للشحنة الساعة 3:30 عصرا,Positive,Negative,False
can we book a maintenance schedule through online  plateform?,Negative,Neutral,False
لا يوجد شيء أوصي به. الخدمه ممتازه,Neutral,Positive,False
شرح الموظف للمنتجات مثل السابق,Positive,Neutral,False
جودة التركيب فقط,Negative,Neutral,False
حبذا من يقوم بالتوصيل عنده معلومة ولو بسيطة عن المنتج وليس عامل توصيل (حمال فقط) لا يعرف قيمة المنتج وأهميته والية التعامل معه .,Neutral,Negative,False
توصيل الطلب سيئه جدا,Positive,Negative,False
تعامل خدمة العملاء  في المعرض,Positive,Neutral,False
.xbox,Positive,Neutral,False
اضافة محافظة الحناكية في خيارات التوصيل المنزلي,Positive,Error,False
